DBN,boro,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
29Q283,Queens,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363
29Q326,Queens,CAMBRIA HEIGHTS ACADEMY,s,s,s,s
29Q492,Queens,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394
29Q494,Queens,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
29Q496,Queens,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359
29Q498,Queens,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377
30Q286,Queens,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",s,s,s,s
30Q301,Queens,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405
30Q445,Queens,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412
30Q450,Queens,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395
30Q501,Queens,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494
30Q502,Queens,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398
30Q555,Queens,NEWCOMERS HIGH SCHOOL,143,323,475,329
30Q575,Queens,ACADEMY OF AMERICAN STUDIES,135,487,492,491
30Q580,Queens,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544
31R047,Staten Island,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450
31R064,Staten Island,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385
31R080,Staten Island,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466
31R440,Staten Island,NEW DORP HIGH SCHOOL,391,424,437,416
31R445,Staten Island,PORT RICHMOND HIGH SCHOOL,271,424,438,417
31R450,Staten Island,CURTIS HIGH SCHOOL,375,437,435,429
31R455,Staten Island,TOTTENVILLE HIGH SCHOOL,807,462,486,470
31R460,Staten Island,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459
31R470,Staten Island,CONCORD HIGH SCHOOL,10,466,455,414
31R600,Staten Island,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397
31R605,Staten Island,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636
31R607,Staten Island,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370
32K403,Brooklyn,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352
32K545,Brooklyn,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361
32K549,Brooklyn,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334
32K552,Brooklyn,ACADEMY OF URBAN PLANNING,67,342,364,354
32K554,Brooklyn,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422
32K556,Brooklyn,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350
32K564,Brooklyn,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358
75K371,Brooklyn,P.S. 371 s LILLIAN L. RASHKIS,s,s,s,s
75M035,Manhattan,P.S. 035,s,s,s,s
75Q256,Queens,P.S. Q256,s,s,s,s
75Q811,Queens,P.S. Q811,32,429,444,433
75R025,Staten Island,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,s,s
75X012,Bronx,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s,s
75X754,Bronx,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,s,s,s,s
79M645,Manhattan,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s,s
79Q950,Queens,GED PLUS s CITYWIDE,8,496,400,426
79X490,Bronx,PHOENIX ACADEMY,9,367,370,360
